"","SqlTrace"
"17236","declare @p1 int
set @p1=180221199
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 73 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17237","exec sp_cursorfetch 180221199,16,1,1"
"17238","exec sp_cursorfetch 180221199,16,2,1"
"17239","exec sp_cursorfetch 180221199,16,3,1"
"17240","exec sp_cursorclose 180221199"
"17241","declare @p1 int
set @p1=180221201
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17242","exec sp_cursorfetch 180221201,16,1,1"
"17243","exec sp_cursorclose 180221201"
"17244","declare @p1 int
set @p1=180221203
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''25'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17245","exec sp_cursorfetch 180221203,16,1,1"
"17246","exec sp_cursorclose 180221203"
"17247","exec sp_cursorfetch 180220729,16,80,1"
"17248","declare @p1 int
set @p1=180221205
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=3
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 62 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17249","exec sp_cursorfetch 180221205,16,1,1"
"17250","exec sp_cursorfetch 180221205,16,2,1"
"17251","exec sp_cursorfetch 180221205,16,3,1"
"17252","exec sp_cursorfetch 180221205,16,4,1"
"17253","exec sp_cursorclose 180221205"
"17254","declare @p1 int
set @p1=180221207
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17255","exec sp_cursorfetch 180221207,16,1,1"
"17256","exec sp_cursorclose 180221207"
"17257","declare @p1 int
set @p1=180221209
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''25'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17258","exec sp_cursorfetch 180221209,16,1,1"
"17259","exec sp_cursorclose 180221209"
"17260","exec sp_cursorfetch 180220729,16,81,1"
"17261","declare @p1 int
set @p1=180221211
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 63 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17262","exec sp_cursorfetch 180221211,16,1,1"
"17263","exec sp_cursorfetch 180221211,16,2,1"
"17264","exec sp_cursorfetch 180221211,16,3,1"
"17265","exec sp_cursorclose 180221211"
"17266","declare @p1 int
set @p1=180221213
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17267","exec sp_cursorfetch 180221213,16,1,1"
"17268","exec sp_cursorclose 180221213"
"17269","declare @p1 int
set @p1=180221215
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''25'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17270","exec sp_cursorfetch 180221215,16,1,1"
"17271","exec sp_cursorclose 180221215"
"17272","exec sp_cursorfetch 180220729,16,82,1"
"17273","declare @p1 int
set @p1=180221217
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 34 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17274","exec sp_cursorfetch 180221217,16,1,1"
"17275","exec sp_cursorclose 180221217"
"17276","declare @p1 int
set @p1=180221219
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17277","exec sp_cursorfetch 180221219,16,1,1"
"17278","exec sp_cursorclose 180221219"
"17279","declare @p1 int
set @p1=180221221
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''25'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17280","exec sp_cursorfetch 180221221,16,1,1"
"17281","exec sp_cursorclose 180221221"
"17282","exec sp_cursorfetch 180220729,16,83,1"
"17283","declare @p1 int
set @p1=180221223
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 28 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17284","exec sp_cursorfetch 180221223,16,1,1"
"17285","exec sp_cursorclose 180221223"
"17286","declare @p1 int
set @p1=180221225
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17287","exec sp_cursorfetch 180221225,16,1,1"
"17288","exec sp_cursorclose 180221225"
"17289","declare @p1 int
set @p1=180221227
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''-25'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17290","exec sp_cursorfetch 180221227,16,1,1"
"17291","exec sp_cursorclose 180221227"
"17292","exec sp_cursorfetch 180220729,16,84,1"
"17293","declare @p1 int
set @p1=180221229
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 40 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17294","exec sp_cursorfetch 180221229,16,1,1"
"17295","exec sp_cursorfetch 180221229,16,2,1"
"17296","exec sp_cursorclose 180221229"
"17297","declare @p1 int
set @p1=180221231
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17298","exec sp_cursorfetch 180221231,16,1,1"
"17299","exec sp_cursorclose 180221231"
"17300","declare @p1 int
set @p1=180221233
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''25'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17301","exec sp_cursorfetch 180221233,16,1,1"
"17302","exec sp_cursorclose 180221233"
"17303","exec sp_cursorfetch 180220729,16,85,1"
"17304","declare @p1 int
set @p1=180221235
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=3
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 80 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17305","exec sp_cursorfetch 180221235,16,1,1"
"17306","exec sp_cursorfetch 180221235,16,2,1"
"17307","exec sp_cursorfetch 180221235,16,3,1"
"17308","exec sp_cursorfetch 180221235,16,4,1"
"17309","exec sp_cursorclose 180221235"
"17310","declare @p1 int
set @p1=180221237
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17311","exec sp_cursorfetch 180221237,16,1,1"
"17312","exec sp_cursorclose 180221237"
"17313","declare @p1 int
set @p1=180221239
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''25'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17314","exec sp_cursorfetch 180221239,16,1,1"
"17315","exec sp_cursorclose 180221239"
"17316","exec sp_cursorfetch 180220729,16,86,1"
"17317","declare @p1 int
set @p1=180221241
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 61 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17318","exec sp_cursorfetch 180221241,16,1,1"
"17319","exec sp_cursorfetch 180221241,16,2,1"
"17320","exec sp_cursorfetch 180221241,16,3,1"
"17321","exec sp_cursorclose 180221241"
"17322","declare @p1 int
set @p1=180221243
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17323","exec sp_cursorfetch 180221243,16,1,1"
"17324","exec sp_cursorclose 180221243"
"17325","declare @p1 int
set @p1=180221245
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''25'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17326","exec sp_cursorfetch 180221245,16,1,1"
"17327","exec sp_cursorclose 180221245"
"17328","exec sp_cursorfetch 180220729,16,87,1"
"17329","declare @p1 int
set @p1=180221247
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 106 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17330","exec sp_cursorfetch 180221247,16,1,1"
"17331","exec sp_cursorfetch 180221247,16,2,1"
"17332","exec sp_cursorfetch 180221247,16,3,1"
"17333","exec sp_cursorclose 180221247"
"17334","declare @p1 int
set @p1=180221249
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17335","exec sp_cursorfetch 180221249,16,1,1"
"17336","exec sp_cursorclose 180221249"
"17337","declare @p1 int
set @p1=180221251
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''25'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17338","exec sp_cursorfetch 180221251,16,1,1"
"17339","exec sp_cursorclose 180221251"
"17340","exec sp_cursorfetch 180220729,16,88,1"
"17341","declare @p1 int
set @p1=180221253
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 121 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17342","exec sp_cursorfetch 180221253,16,1,1"
"17343","exec sp_cursorclose 180221253"
"17344","declare @p1 int
set @p1=180221255
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17345","exec sp_cursorfetch 180221255,16,1,1"
"17346","exec sp_cursorclose 180221255"
"17347","declare @p1 int
set @p1=180221257
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''25'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17348","exec sp_cursorfetch 180221257,16,1,1"
"17349","exec sp_cursorclose 180221257"
"17350","exec sp_cursorfetch 180220729,16,89,1"
"17351","declare @p1 int
set @p1=180221259
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 25 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17352","exec sp_cursorfetch 180221259,16,1,1"
"17353","exec sp_cursorfetch 180221259,16,2,1"
"17354","exec sp_cursorfetch 180221259,16,3,1"
"17355","exec sp_cursorclose 180221259"
"17356","declare @p1 int
set @p1=180221261
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17357","exec sp_cursorfetch 180221261,16,1,1"
"17358","exec sp_cursorclose 180221261"
"17359","declare @p1 int
set @p1=180221263
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''25'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17360","exec sp_cursorfetch 180221263,16,1,1"
"17361","exec sp_cursorclose 180221263"
"17362","exec sp_cursorfetch 180220729,16,90,1"
"17363","declare @p1 int
set @p1=180221265
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 69 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17364","exec sp_cursorfetch 180221265,16,1,1"
"17365","exec sp_cursorfetch 180221265,16,2,1"
"17366","exec sp_cursorfetch 180221265,16,3,1"
"17367","exec sp_cursorclose 180221265"
"17368","declare @p1 int
set @p1=180221267
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17369","exec sp_cursorfetch 180221267,16,1,1"
"17370","exec sp_cursorclose 180221267"
"17371","declare @p1 int
set @p1=180221269
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''25'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17372","exec sp_cursorfetch 180221269,16,1,1"
"17373","exec sp_cursorclose 180221269"
"17374","exec sp_cursorfetch 180220729,16,91,1"
"17375","declare @p1 int
set @p1=180221271
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 71 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17376","exec sp_cursorfetch 180221271,16,1,1"
"17377","exec sp_cursorfetch 180221271,16,2,1"
"17378","exec sp_cursorclose 180221271"
"17379","declare @p1 int
set @p1=180221273
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17380","exec sp_cursorfetch 180221273,16,1,1"
"17381","exec sp_cursorclose 180221273"
"17382","declare @p1 int
set @p1=180221275
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''25'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17383","exec sp_cursorfetch 180221275,16,1,1"
"17384","exec sp_cursorclose 180221275"
"17385","exec sp_cursorfetch 180220729,16,92,1"
"17386","declare @p1 int
set @p1=180221277
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 70 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17387","exec sp_cursorfetch 180221277,16,1,1"
"17388","exec sp_cursorfetch 180221277,16,2,1"
"17389","exec sp_cursorfetch 180221277,16,3,1"
"17390","exec sp_cursorclose 180221277"
"17391","declare @p1 int
set @p1=180221279
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17392","exec sp_cursorfetch 180221279,16,1,1"
"17393","exec sp_cursorclose 180221279"
"17394","declare @p1 int
set @p1=180221281
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''-25'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17395","exec sp_cursorfetch 180221281,16,1,1"
"17396","exec sp_cursorclose 180221281"
"17397","exec sp_cursorfetch 180220729,16,93,1"
"17398","declare @p1 int
set @p1=180221283
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 90 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17399","exec sp_cursorfetch 180221283,16,1,1"
"17400","exec sp_cursorclose 180221283"
"17401","declare @p1 int
set @p1=180221285
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17402","exec sp_cursorfetch 180221285,16,1,1"
"17403","exec sp_cursorclose 180221285"
"17404","declare @p1 int
set @p1=180221287
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''25'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17405","exec sp_cursorfetch 180221287,16,1,1"
"17406","exec sp_cursorclose 180221287"
"17407","exec sp_cursorfetch 180220729,16,94,1"
"17408","declare @p1 int
set @p1=180221289
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 72 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17409","exec sp_cursorfetch 180221289,16,1,1"
"17410","exec sp_cursorfetch 180221289,16,2,1"
"17411","exec sp_cursorfetch 180221289,16,3,1"
"17412","exec sp_cursorclose 180221289"
"17413","declare @p1 int
set @p1=180221291
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17414","exec sp_cursorfetch 180221291,16,1,1"
"17415","exec sp_cursorclose 180221291"
"17416","declare @p1 int
set @p1=180221293
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''-25'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17417","exec sp_cursorfetch 180221293,16,1,1"
"17418","exec sp_cursorclose 180221293"
"17419","exec sp_cursorfetch 180220729,16,95,1"
"17420","declare @p1 int
set @p1=180221295
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 98 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17421","exec sp_cursorfetch 180221295,16,1,1"
"17422","exec sp_cursorfetch 180221295,16,2,1"
"17423","exec sp_cursorfetch 180221295,16,3,1"
"17424","exec sp_cursorclose 180221295"
"17425","declare @p1 int
set @p1=180221297
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17426","exec sp_cursorfetch 180221297,16,1,1"
"17427","exec sp_cursorclose 180221297"
"17428","declare @p1 int
set @p1=180221299
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''41'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17429","exec sp_cursorfetch 180221299,16,1,1"
"17430","exec sp_cursorclose 180221299"
"17431","exec sp_cursorfetch 180220729,16,96,1"
"17432","declare @p1 int
set @p1=180221301
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=5
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 105 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17433","exec sp_cursorfetch 180221301,16,1,1"
"17434","exec sp_cursorfetch 180221301,16,2,1"
"17435","exec sp_cursorfetch 180221301,16,3,1"
"17436","exec sp_cursorfetch 180221301,16,4,1"
"17437","exec sp_cursorfetch 180221301,16,5,1"
"17438","exec sp_cursorfetch 180221301,16,6,1"
"17439","exec sp_cursorclose 180221301"
"17440","declare @p1 int
set @p1=180221303
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17441","exec sp_cursorfetch 180221303,16,1,1"
"17442","exec sp_cursorclose 180221303"
"17443","declare @p1 int
set @p1=180221305
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''41'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17444","exec sp_cursorfetch 180221305,16,1,1"
"17445","exec sp_cursorclose 180221305"
"17446","exec sp_cursorfetch 180220729,16,97,1"
"17447","declare @p1 int
set @p1=180221307
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 103 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17448","exec sp_cursorfetch 180221307,16,1,1"
"17449","exec sp_cursorfetch 180221307,16,2,1"
"17450","exec sp_cursorfetch 180221307,16,3,1"
"17451","exec sp_cursorclose 180221307"
"17452","declare @p1 int
set @p1=180221309
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17453","exec sp_cursorfetch 180221309,16,1,1"
"17454","exec sp_cursorclose 180221309"
"17455","declare @p1 int
set @p1=180221311
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''41'' AND USER_CLASS=''ADMIN''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17456","exec sp_cursorfetch 180221311,16,1,1"
"17457","exec sp_cursorclose 180221311"
"17458","exec sp_cursorfetch 180220729,16,98,1"
"17459","declare @p1 int
set @p1=180221313
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N' SELECT * FROM hs_RapportParam where RapportID= 99 ORDER BY ParamID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17460","exec sp_cursorfetch 180221313,16,1,1"
"17461","exec sp_cursorfetch 180221313,16,2,1"
"17462","exec sp_cursorfetch 180221313,16,3,1"
"17463","exec sp_cursorclose 180221313"
"17464","declare @p1 int
set @p1=180221315
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"17465","exec sp_cursorfetch 180221315,16,1,1"
"17466","exec sp_cursorclose 180221315"
